day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
-2,1500,AMETHYSTS,9996,2,9995.0,25.0,,,10004,2,10005.0,25.0,,,10000.0,0.0
-2,1600,AMETHYSTS,9996,1,9995.0,23.0,,,10004,1,10005.0,23.0,,,10000.0,0.0
-2,1600,STARFRUIT,4997,1,4996.0,23.0,,,5003,24,,,,,5000.0,0.0
-2,1700,STARFRUIT,4997,28,,,,,5002,2,5004.0,28.0,,,4999.5,0.0
-2,1700,AMETHYSTS,9995,28,,,,,10002,6,10005.0,28.0,,,9998.5,0.0
-2,1800,STARFRUIT,4996,24,,,,,5001,1,5003.0,24.0,,,4998.5,0.0
-2,1800,AMETHYSTS,9998,10,9995.0,24.0,,,10005,24,,,,,10001.5,0.0
-2,1900,STARFRUIT,5002,1,4997.0,1.0,4996.0,25.0,5003,26,,,,,5002.5,0.0
-2,1900,AMETHYSTS,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0,0.0
-2,20000,AMETHYSTS,9995,28,,,,,10005,28,,,,,10000.0,0.0
-2,20000,STARFRUIT,4996,28,,,,,5003,28,,,,,4999.5,0.0
-2,20100,STARFRUIT,4996,30,,,,,5001,7,5003.0,30.0,,,4998.5,0.0
-2,20100,AMETHYSTS,10002,1,9995.0,30.0,,,10005,30,,,,,10003.5,0.0
-2,20200,STARFRUIT,4997,1,4996.0,28.0,,,5002,1,5003.0,27.0,,,4999.5,0.0
-2,20200,AMETHYSTS,10002,1,9996.0,1.0,9995.0,27.0,10004,1,10005.0,27.0,,,10003.0,0.0
-2,20300,STARFRUIT,5002,1,4997.0,1.0,4996.0,25.0,5003,25,,,,,5002.5,0.0
-2,20300,AMETHYSTS,9996,1,9995.0,24.0,,,10004,1,10005.0,24.0,,,10000.0,0.0
-2,20400,AMETHYSTS,9995,25,,,,,10005,25,,,,,10000.0,0.0
-2,20400,STARFRUIT,4996,25,,,,,5003,25,,,,,4999.5,0.0
-2,20500,STARFRUIT,4996,25,,,,,5001,7,5003.0,25.0,,,4998.5,0.0
-2,20500,AMETHYSTS,9996,1,9995.0,24.0,,,10004,1,10005.0,24.0,,,10000.0,0.0
-2,20600,STARFRUIT,4996,21,,,,,5003,21,,,,,4999.5,0.0
-2,20600,AMETHYSTS,9995,21,,,,,9998,1,10005.0,21.0,,,9996.5,0.0
-2,20700,STARFRUIT,4996,23,,,,,5002,1,5003.0,22.0,,,4999.0,0.0
-2,20700,AMETHYSTS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0
-2,20800,AMETHYSTS,9996,2,9995.0,21.0,,,10004,2,10005.0,21.0,,,10000.0,0.0
-2,20800,STARFRUIT,4996,5,4995.0,23.0,,,5002,23,,,,,4999.0,0.0
-2,20900,STARFRUIT,4995,30,,,,,5002,30,,,,,4998.5,0.0
-2,20900,AMETHYSTS,9996,2,9995.0,28.0,,,9998,1,10004.0,2.0,10005.0,28.0,9997.0,0.0
-2,21000,STARFRUIT,4996,1,4995.0,28.0,,,5002,29,,,,,4999.0,0.0
-2,21000,AMETHYSTS,9996,1,9995.0,28.0,,,10004,1,10005.0,28.0,,,10000.0,0.0
-2,21100,STARFRUIT,4996,1,4995.0,22.0,,,5002,23,,,,,4999.0,0.0
-2,21100,AMETHYSTS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0
-2,21200,AMETHYSTS,9996,1,9995.0,27.0,,,10004,1,10005.0,27.0,,,10000.0,0.0
-2,21200,STARFRUIT,4996,1,4995.0,27.0,,,5002,28,,,,,4999.0,0.0
-2,21300,STARFRUIT,4996,2,4995.0,27.0,,,5002,29,,,,,4999.0,0.0
-2,21300,AMETHYSTS,9996,2,9995.0,27.0,,,10002,5,10004.0,2.0,10005.0,27.0,9999.0,0.0
-2,21400,STARFRUIT,4996,23,,,,,5001,6,5002.0,2.0,5003.0,21.0,4998.5,0.0
-2,21400,AMETHYSTS,9996,2,9995.0,21.0,,,10004,2,10005.0,21.0,,,10000.0,0.0
-2,21500,STARFRUIT,4996,26,,,,,5002,1,5003.0,25.0,,,4999.0,0.0
-2,21500,AMETHYSTS,9996,1,9995.0,25.0,,,10002,5,10004.0,1.0,10005.0,25.0,9999.0,0.0
-2,21600,AMETHYSTS,9995,23,,,,,10005,23,,,,,10000.0,0.0
-2,21600,STARFRUIT,4996,23,,,,,5001,8,5003.0,23.0,,,4998.5,0.0
-2,21700,STARFRUIT,4995,22,,,,,5002,22,,,,,4998.5,0.0
-2,21700,AMETHYSTS,9995,22,,,,,10005,22,,,,,10000.0,0.0
-2,21800,STARFRUIT,4996,27,,,,,5001,5,5003.0,27.0,,,4998.5,0.0
-2,21800,AMETHYSTS,10002,1,9996.0,2.0,9995.0,25.0,10004,2,10005.0,25.0,,,10003.0,0.0
-2,21900,STARFRUIT,4996,21,,,,,5003,21,,,,,4999.5,0.0
-2,21900,AMETHYSTS,9998,3,9995.0,21.0,,,10005,21,,,,,10001.5,0.0
-2,40000,AMETHYSTS,9995,27,,,,,10005,27,,,,,10000.0,0.0
-2,40000,STARFRUIT,4992,27,,,,,4999,27,,,,,4995.5,0.0
-2,40100,STARFRUIT,4992,1,4991.0,26.0,,,4998,27,,,,,4995.0,0.0
-2,40100,AMETHYSTS,9996,1,9995.0,26.0,,,10004,1,10005.0,26.0,,,10000.0,0.0
-2,40200,STARFRUIT,4997,5,4992.0,29.0,,,4999,29,,,,,4998.0,0.0
-2,40200,AMETHYSTS,9996,2,9995.0,27.0,,,10004,2,10005.0,27.0,,,10000.0,0.0
-2,40300,STARFRUIT,4992,28,,,,,4994,2,4999.0,28.0,,,4993.0,0.0
-2,40300,AMETHYSTS,9998,9,9995.0,28.0,,,10005,28,,,,,10001.5,0.0
-2,40400,AMETHYSTS,9995,30,,,,,10005,30,,,,,10000.0,0.0
-2,40400,STARFRUIT,4993,7,4992.0,30.0,,,4999,30,,,,,4996.0,0.0
-2,40500,STARFRUIT,4992,30,,,,,4999,30,,,,,4995.5,0.0
-2,40500,AMETHYSTS,9996,1,9995.0,29.0,,,10004,1,10005.0,29.0,,,10000.0,0.0
-2,40600,STARFRUIT,4993,2,4992.0,29.0,,,4999,29,,,,,4996.0,0.0
-2,40600,AMETHYSTS,9995,29,,,,,10005,29,,,,,10000.0,0.0
-2,40700,STARFRUIT,4996,3,4993.0,5.0,4992.0,24.0,4999,24,,,,,4997.5,0.0
-2,40700,AMETHYSTS,9995,24,,,,,10005,24,,,,,10000.0,0.0
-2,40800,AMETHYSTS,9995,24,,,,,10005,24,,,,,10000.0,0.0
-2,40800,STARFRUIT,4991,24,,,,,4998,24,,,,,4994.5,0.0
-2,40900,STARFRUIT,4991,23,,,,,4992,3,4998.0,23.0,,,4991.5,0.0
-2,40900,AMETHYSTS,9995,23,,,,,10005,23,,,,,10000.0,0.0
-2,41000,STARFRUIT,4996,2,4992.0,4.0,4991.0,24.0,4998,24,,,,,4997.0,0.0
-2,41000,AMETHYSTS,9995,24,,,,,10005,24,,,,,10000.0,0.0
-2,41100,AMETHYSTS,9995,26,,,,,10005,26,,,,,10000.0,0.0
-2,41100,STARFRUIT,4995,9,4990.0,26.0,,,4997,26,,,,,4996.0,0.0
-2,41200,STARFRUIT,4993,2,4990.0,25.0,,,4997,25,,,,,4995.0,0.0
-2,41200,AMETHYSTS,10000,2,9995.0,25.0,,,10005,25,,,,,10002.5,0.0
-2,41300,STARFRUIT,4991,2,4990.0,28.0,,,4997,30,,,,,4994.0,0.0
-2,41300,AMETHYSTS,9996,2,9995.0,28.0,,,10004,2,10005.0,28.0,,,10000.0,0.0
-2,41400,STARFRUIT,4991,1,4990.0,30.0,,,4995,6,4997.0,31.0,,,4993.0,0.0
-2,41400,AMETHYSTS,9996,1,9995.0,30.0,,,10004,1,10005.0,30.0,,,10000.0,0.0
-2,41500,AMETHYSTS,9996,2,9995.0,21.0,,,10000,5,10004.0,2.0,10005.0,21.0,9998.0,0.0
-2,41500,STARFRUIT,4991,2,4990.0,21.0,,,4993,6,4995.0,8.0,4997.0,23.0,4992.0,0.0
-2,41600,STARFRUIT,4990,23,,,,,4997,23,,,,,4993.5,0.0
-2,41600,AMETHYSTS,9995,23,,,,,10005,23,,,,,10000.0,0.0
-2,41700,STARFRUIT,4990,29,,,,,4997,29,,,,,4993.5,0.0
-2,41700,AMETHYSTS,10002,1,9996.0,1.0,9995.0,28.0,10004,1,10005.0,28.0,,,10003.0,0.0
-2,41800,STARFRUIT,4990,31,,,,,4995,1,4996.0,2.0,4997.0,29.0,4992.5,0.0
-2,41800,AMETHYSTS,9998,9,9996.0,2.0,9995.0,29.0,10004,2,10005.0,29.0,,,10001.0,0.0
-2,41900,AMETHYSTS,9995,30,,,,,10000,3,10002.0,4.0,10005.0,30.0,9997.5,0.0
-2,41900,STARFRUIT,4990,30,,,,,4993,3,4997.0,30.0,,,4991.5,0.0
-2,60000,STARFRUIT,4987,1,4982.0,26.0,,,4989,26,,,,,4988.0,0.0
-2,60000,AMETHYSTS,9995,26,,,,,10005,26,,,,,10000.0,0.0
-2,60100,STARFRUIT,4987,10,4982.0,24.0,,,4989,24,,,,,4988.0,0.0
-2,60100,AMETHYSTS,9996,1,9995.0,23.0,,,9998,1,10004.0,1.0,10005.0,23.0,9997.0,0.0
-2,60200,STARFRUIT,4983,1,4982.0,23.0,,,4987,3,4989.0,24.0,,,4985.0,0.0
-2,60200,AMETHYSTS,9996,1,9995.0,23.0,,,10004,1,10005.0,23.0,,,10000.0,0.0
-2,60300,AMETHYSTS,9996,2,9995.0,26.0,,,10004,2,10005.0,26.0,,,10000.0,0.0
-2,60300,STARFRUIT,4983,2,4982.0,26.0,,,4989,28,,,,,4986.0,0.0
-2,60400,STARFRUIT,4983,2,4982.0,20.0,,,4989,22,,,,,4986.0,0.0
-2,60400,AMETHYSTS,9996,2,9995.0,20.0,,,10004,2,10005.0,20.0,,,10000.0,0.0
-2,60500,STARFRUIT,4984,1,4983.0,29.0,,,4985,3,4988.0,2.0,4990.0,30.0,4984.5,0.0
-2,60500,AMETHYSTS,9996,1,9995.0,29.0,,,9998,1,10004.0,1.0,10005.0,29.0,9997.0,0.0
-2,60600,STARFRUIT,4983,27,,,,,4984,1,4988.0,2.0,4990.0,27.0,4983.5,0.0
-2,60600,AMETHYSTS,9996,1,9995.0,26.0,,,10004,1,10005.0,26.0,,,10000.0,0.0
-2,60700,AMETHYSTS,9996,1,9995.0,26.0,,,10004,1,10005.0,26.0,,,10000.0,0.0
-2,60700,STARFRUIT,4984,8,4983.0,27.0,,,4990,27,,,,,4987.0,0.0
-2,60800,STARFRUIT,4983,21,,,,,4990,21,,,,,4986.5,0.0
-2,60800,AMETHYSTS,9996,1,9995.0,20.0,,,10002,6,10004.0,1.0,10005.0,20.0,9999.0,0.0
-2,60900,STARFRUIT,4983,22,,,,,4989,22,,,,,4986.0,0.0
-2,60900,AMETHYSTS,9996,1,9995.0,21.0,,,10004,1,10005.0,21.0,,,10000.0,0.0
-2,61000,AMETHYSTS,9995,22,,,,,10005,22,,,,,10000.0,0.0
-2,61000,STARFRUIT,4982,22,,,,,4989,22,,,,,4985.5,0.0
-2,61100,AMETHYSTS,10002,1,9995.0,29.0,,,10005,29,,,,,10003.5,0.0
-2,61100,STARFRUIT,4987,5,4983.0,29.0,,,4990,29,,,,,4988.5,0.0
-2,61200,STARFRUIT,4983,30,,,,,4989,1,4990.0,29.0,,,4986.0,0.0
-2,61200,AMETHYSTS,9996,1,9995.0,29.0,,,10002,4,10004.0,1.0,10005.0,29.0,9999.0,0.0
-2,61300,AMETHYSTS,9996,2,9995.0,25.0,,,10004,2,10005.0,25.0,,,10000.0,0.0
-2,61300,STARFRUIT,4982,27,,,,,4987,7,4989.0,27.0,,,4984.5,0.0
-2,61400,AMETHYSTS,10002,5,9995.0,29.0,,,10005,29,,,,,10003.5,0.0
-2,61400,STARFRUIT,4982,29,,,,,4987,5,4989.0,29.0,,,4984.5,0.0
-2,61500,AMETHYSTS,9995,21,,,,,10005,21,,,,,10000.0,0.0
-2,61500,STARFRUIT,4982,21,,,,,4989,21,,,,,4985.5,0.0
-2,61600,STARFRUIT,4982,27,,,,,4989,27,,,,,4985.5,0.0
-2,61600,AMETHYSTS,9995,27,,,,,9998,3,10002.0,2.0,10005.0,27.0,9996.5,0.0
-2,61700,AMETHYSTS,9995,30,,,,,10005,30,,,,,10000.0,0.0
-2,61700,STARFRUIT,4981,30,,,,,4988,30,,,,,4984.5,0.0
-2,61800,AMETHYSTS,9998,7,9996.0,1.0,9995.0,25.0,10004,1,10005.0,25.0,,,10001.0,0.0
-2,61800,STARFRUIT,4986,5,4982.0,1.0,4981.0,25.0,4988,26,,,,,4987.0,0.0
-2,61900,AMETHYSTS,9996,2,9995.0,20.0,,,10004,2,10005.0,20.0,,,10000.0,0.0
-2,61900,STARFRUIT,4982,22,,,,,4988,2,4989.0,20.0,,,4985.0,0.0
-2,80000,STARFRUIT,4980,30,,,,,4987,30,,,,,4983.5,0.0
-2,80000,AMETHYSTS,10002,1,9998.0,5.0,9995.0,30.0,10005,30,,,,,10003.5,0.0
-2,80100,AMETHYSTS,9996,1,9995.0,30.0,,,10002,6,10004.0,1.0,10005.0,30.0,9999.0,0.0
-2,80100,STARFRUIT,4986,1,4980.0,31.0,,,4987,31,,,,,4986.5,0.0
-2,80200,AMETHYSTS,9996,2,9995.0,25.0,,,10004,2,10005.0,25.0,,,10000.0,0.0
-2,80200,STARFRUIT,4980,27,,,,,4987,27,,,,,4983.5,0.0
-2,80300,AMETHYSTS,10002,1,9996.0,1.0,9995.0,29.0,10004,1,10005.0,29.0,,,10003.0,0.0
-2,80300,STARFRUIT,4981,5,4980.0,29.0,,,4987,30,,,,,4984.0,0.0
-2,80400,STARFRUIT,4981,23,,,,,4984,4,4988.0,23.0,,,4982.5,0.0
-2,80400,AMETHYSTS,9995,23,,,,,10000,4,10005.0,23.0,,,9997.5,0.0
-2,80500,AMETHYSTS,9996,2,9995.0,21.0,,,10002,8,10004.0,2.0,10005.0,21.0,9999.0,0.0
-2,80500,STARFRUIT,4981,22,,,,,4986,3,4988.0,23.0,,,4983.5,0.0
-2,80600,AMETHYSTS,9998,3,9996.0,1.0,9995.0,26.0,10004,1,10005.0,26.0,,,10001.0,0.0
-2,80600,STARFRUIT,4981,27,,,,,4988,27,,,,,4984.5,0.0
-2,80700,AMETHYSTS,9996,2,9995.0,27.0,,,10004,2,10005.0,27.0,,,10000.0,0.0
-2,80700,STARFRUIT,4982,2,4981.0,29.0,,,4987,2,4988.0,27.0,,,4984.5,0.0
-2,80800,STARFRUIT,4982,6,4981.0,25.0,,,4988,25,,,,,4985.0,0.0
-2,80800,AMETHYSTS,9995,25,,,,,10002,4,10005.0,25.0,,,9998.5,0.0
-2,80900,AMETHYSTS,9996,2,9995.0,28.0,,,10004,2,10005.0,28.0,,,10000.0,0.0
-2,80900,STARFRUIT,4981,30,,,,,4982,1,4986.0,1.0,4988.0,30.0,4981.5,0.0
-2,81000,AMETHYSTS,9996,2,9995.0,30.0,,,10004,2,10005.0,30.0,,,10000.0,0.0
-2,81000,STARFRUIT,4981,2,4980.0,30.0,,,4987,32,,,,,4984.0,0.0
-2,81100,STARFRUIT,4981,29,,,,,4987,1,4988.0,28.0,,,4984.0,0.0
-2,81100,AMETHYSTS,9996,1,9995.0,28.0,,,10002,6,10004.0,1.0,10005.0,28.0,9999.0,0.0
-2,81200,STARFRUIT,4981,1,4980.0,26.0,,,4987,27,,,,,4984.0,0.0
-2,81200,AMETHYSTS,9996,1,9995.0,26.0,,,10002,3,10004.0,1.0,10005.0,26.0,9999.0,0.0
-2,81300,STARFRUIT,4986,1,4981.0,2.0,4980.0,20.0,4987,22,,,,,4986.5,0.0
-2,81300,AMETHYSTS,9996,2,9995.0,20.0,,,9998,1,10002.0,8.0,10004.0,2.0,9997.0,0.0
-2,81400,AMETHYSTS,10002,1,9996.0,2.0,9995.0,21.0,10004,2,10005.0,21.0,,,10003.0,0.0
-2,81400,STARFRUIT,4981,23,,,,,4987,23,,,,,4984.0,0.0
-2,81500,STARFRUIT,4981,28,,,,,4988,28,,,,,4984.5,0.0
-2,81500,AMETHYSTS,9998,2,9995.0,28.0,,,10005,28,,,,,10001.5,0.0
-2,81600,STARFRUIT,4981,20,,,,,4986,5,4988.0,20.0,,,4983.5,0.0
-2,81600,AMETHYSTS,9998,10,9995.0,20.0,,,10005,20,,,,,10001.5,0.0
-2,81700,STARFRUIT,4982,3,4981.0,27.0,,,4988,27,,,,,4985.0,0.0
-2,81700,AMETHYSTS,9996,2,9995.0,25.0,,,10002,6,10004.0,2.0,10005.0,25.0,9999.0,0.0
-2,81800,AMETHYSTS,9998,8,9996.0,1.0,9995.0,28.0,10004,1,10005.0,28.0,,,10001.0,0.0
-2,81800,STARFRUIT,4981,28,,,,,4986,8,4988.0,29.0,,,4983.5,0.0
-2,81900,STARFRUIT,4982,7,4981.0,27.0,,,4984,4,4988.0,27.0,,,4983.0,0.0
-2,81900,AMETHYSTS,9996,2,9995.0,25.0,,,10000,4,10004.0,2.0,10005.0,25.0,9998.0,0.0
-2,100000,STARFRUIT,4987,30,,,,,4994,30,,,,,4990.5,0.0
-2,100000,AMETHYSTS,9995,30,,,,,10005,30,,,,,10000.0,0.0
-2,100100,STARFRUIT,4987,27,,,,,4993,2,4994.0,26.0,,,4990.0,0.0
-2,100100,AMETHYSTS,9996,2,9995.0,26.0,,,9998,1,10004.0,2.0,10005.0,26.0,9997.0,0.0
-2,100200,AMETHYSTS,9995,22,,,,,10005,22,,,,,10000.0,0.0
-2,100200,STARFRUIT,4986,22,,,,,4993,22,,,,,4989.5,0.0
-2,100300,STARFRUIT,4986,1,4985.0,27.0,,,4992,28,,,,,4989.0,0.0
-2,100300,AMETHYSTS,9996,1,9995.0,27.0,,,10004,1,10005.0,27.0,,,10000.0,0.0
-2,100400,STARFRUIT,4991,1,4986.0,21.0,,,4993,21,,,,,4992.0,0.0
-2,100400,AMETHYSTS,9998,5,9996.0,1.0,9995.0,20.0,10004,1,10005.0,20.0,,,10001.0,0.0
-2,100500,STARFRUIT,4986,24,,,,,4993,24,,,,,4989.5,0.0
-2,100500,AMETHYSTS,9998,6,9996.0,2.0,9995.0,22.0,10004,2,10005.0,22.0,,,10001.0,0.0
-2,100600,AMETHYSTS,9998,1,9996.0,1.0,9995.0,30.0,10004,1,10005.0,30.0,,,10001.0,0.0
-2,100600,STARFRUIT,4986,31,,,,,4992,1,4993.0,30.0,,,4989.0,0.0
-2,100700,STARFRUIT,4986,27,,,,,4993,27,,,,,4989.5,0.0
-2,100700,AMETHYSTS,9998,5,9996.0,2.0,9995.0,25.0,10004,2,10005.0,25.0,,,10001.0,0.0
-2,100800,STARFRUIT,4986,22,,,,,4993,22,,,,,4989.5,0.0
-2,100800,AMETHYSTS,9996,1,9995.0,21.0,,,10002,10,10004.0,1.0,10005.0,21.0,9999.0,0.0
-2,100900,STARFRUIT,4987,26,,,,,4994,26,,,,,4990.5,0.0
-2,100900,AMETHYSTS,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0,0.0
-2,101000,AMETHYSTS,9998,9,9996.0,1.0,9995.0,20.0,10004,1,10005.0,20.0,,,10001.0,0.0
-2,101000,STARFRUIT,4987,21,,,,,4993,1,4994.0,20.0,,,4990.0,0.0
-2,101100,STARFRUIT,4987,7,4986.0,27.0,,,4993,28,,,,,4990.0,0.0
-2,101100,AMETHYSTS,9996,1,9995.0,27.0,,,10004,1,10005.0,27.0,,,10000.0,0.0
-2,101200,STARFRUIT,4987,2,4986.0,21.0,,,4993,23,,,,,4990.0,0.0
-2,101200,AMETHYSTS,9996,2,9995.0,21.0,,,10004,2,10005.0,21.0,,,10000.0,0.0
-2,101300,STARFRUIT,4987,7,4986.0,27.0,,,4993,28,,,,,4990.0,0.0
-2,101300,AMETHYSTS,9996,1,9995.0,27.0,,,9998,8,10004.0,1.0,10005.0,27.0,9997.0,0.0
-2,101400,AMETHYSTS,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0,0.0
-2,101400,STARFRUIT,4987,2,4986.0,24.0,,,4993,26,,,,,4990.0,0.0
-2,101500,STARFRUIT,4986,26,,,,,4991,3,4993.0,26.0,,,4988.5,0.0
-2,101500,AMETHYSTS,9995,26,,,,,10002,9,10005.0,26.0,,,9998.5,0.0
-2,101600,STARFRUIT,4986,28,,,,,4993,28,,,,,4989.5,0.0
-2,101600,AMETHYSTS,9996,2,9995.0,26.0,,,10004,2,10005.0,26.0,,,10000.0,0.0
-2,101700,STARFRUIT,4985,22,,,,,4992,22,,,,,4988.5,0.0
-2,101700,AMETHYSTS,9998,1,9995.0,22.0,,,10005,22,,,,,10001.5,0.0
-2,101800,AMETHYSTS,9995,23,,,,,10002,7,10005.0,23.0,,,9998.5,0.0
-2,101800,STARFRUIT,4985,23,,,,,4992,23,,,,,4988.5,0.0
-2,101900,STARFRUIT,4985,21,,,,,4991,1,4992.0,20.0,,,4988.0,0.0
-2,101900,AMETHYSTS,9996,1,9995.0,20.0,,,10004,1,10005.0,20.0,,,10000.0,0.0
-2,120000,STARFRUIT,4973,23,,,,,4978,3,4980.0,23.0,,,4975.5,0.0
-2,120000,AMETHYSTS,9998,2,9996.0,1.0,9995.0,22.0,10004,1,10005.0,22.0,,,10001.0,0.0
-2,120100,STARFRUIT,4973,27,,,,,4979,1,4980.0,26.0,,,4976.0,0.0
-2,120100,AMETHYSTS,9996,1,9995.0,26.0,,,10002,6,10004.0,1.0,10005.0,26.0,9999.0,0.0
-2,120200,AMETHYSTS,9995,21,,,,,10002,7,10005.0,21.0,,,9998.5,0.0
-2,120200,STARFRUIT,4973,20,,,,,4980,21,,,,,4976.5,0.0
-2,120300,STARFRUIT,4973,5,4972.0,28.0,,,4979,29,,,,,4976.0,0.0
-2,120300,AMETHYSTS,9996,1,9995.0,28.0,,,10004,1,10005.0,28.0,,,10000.0,0.0
-2,120400,STARFRUIT,4973,5,4972.0,31.0,,,4979,31,,,,,4976.0,0.0
-2,120400,AMETHYSTS,9996,2,9995.0,29.0,,,10004,2,10005.0,29.0,,,10000.0,0.0
-2,120500,STARFRUIT,4972,31,,,,,4979,31,,,,,4975.5,0.0
-2,120500,AMETHYSTS,9996,2,9995.0,29.0,,,9998,3,10002.0,4.0,10004.0,2.0,9997.0,0.0
-2,120600,AMETHYSTS,9996,1,9995.0,27.0,,,10004,1,10005.0,27.0,,,10000.0,0.0
-2,120600,STARFRUIT,4972,28,,,,,4979,28,,,,,4975.5,0.0
-2,120700,STARFRUIT,4973,2,4972.0,28.0,,,4979,29,,,,,4976.0,0.0
-2,120700,AMETHYSTS,9996,1,9995.0,28.0,,,10004,1,10005.0,28.0,,,10000.0,0.0
-2,120800,STARFRUIT,4978,1,4975.0,6.0,4973.0,6.0,4979,29,,,,,4978.5,0.0
-2,120800,AMETHYSTS,10000,6,9998.0,4.0,9996.0,1.0,10004,1,10005.0,28.0,,,10002.0,0.0
-2,120900,STARFRUIT,4973,1,4972.0,29.0,,,4977,3,4979.0,30.0,,,4975.0,0.0
-2,120900,AMETHYSTS,9996,1,9995.0,29.0,,,9998,1,10004.0,1.0,10005.0,29.0,9997.0,0.0
-2,121000,STARFRUIT,4973,27,,,,,4979,2,4980.0,25.0,,,4976.0,0.0
-2,121000,AMETHYSTS,9996,2,9995.0,25.0,,,10004,2,10005.0,25.0,,,10000.0,0.0
-2,121100,STARFRUIT,4974,1,4973.0,26.0,,,4980,27,,,,,4977.0,0.0
-2,121100,AMETHYSTS,9996,1,9995.0,26.0,,,10004,1,10005.0,26.0,,,10000.0,0.0
-2,121200,STARFRUIT,4974,2,4973.0,23.0,,,4980,24,,,,,4977.0,0.0
-2,121200,AMETHYSTS,9996,1,9995.0,23.0,,,10004,1,10005.0,23.0,,,10000.0,0.0
-2,121300,AMETHYSTS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0
-2,121300,STARFRUIT,4974,23,,,,,4981,23,,,,,4977.5,0.0
-2,121400,STARFRUIT,4975,1,4974.0,25.0,,,4979,6,4981.0,26.0,,,4977.0,0.0
-2,121400,AMETHYSTS,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0,0.0
